,Audio Features Obj,Spotify_ID,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"{'danceability': 0.927, 'energy': 0.665, 'key': 11, 'loudness': -5.313, 'mode': 1, 'speechiness': 0.244, 'acousticness': 0.061, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.175, 'tempo': 127.076, 'type': 'audio_features', 'id': '4Km5HrUvYTaSUfiSGPJeQR', 'uri': 'spotify:track:4Km5HrUvYTaSUfiSGPJeQR', 'track_href': 'https://api.spotify.com/v1/tracks/4Km5HrUvYTaSUfiSGPJeQR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Km5HrUvYTaSUfiSGPJeQR', 'duration_ms': 343150, 'time_signature': 4}",4Km5HrUvYTaSUfiSGPJeQR,4Km5HrUvYTaSUfiSGPJeQR,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,0.927,0.665,11,-5.313,1,0.244,0.061,0.0,0.123,0.175,127.076,343150,4
1,"{'danceability': 0.928, 'energy': 0.481, 'key': 9, 'loudness': -9.35, 'mode': 0, 'speechiness': 0.287, 'acousticness': 0.105, 'instrumentalness': 0, 'liveness': 0.176, 'valence': 0.613, 'tempo': 134.007, 'type': 'audio_features', 'id': '343YBumqHu19cGoGARUTsd', 'uri': 'spotify:track:343YBumqHu19cGoGARUTsd', 'track_href': 'https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd', 'duration_ms': 210937, 'time_signature': 4}",343YBumqHu19cGoGARUTsd,343YBumqHu19cGoGARUTsd,spotify:track:343YBumqHu19cGoGARUTsd,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,210937,4
2,"{'danceability': 0.681, 'energy': 0.594, 'key': 7, 'loudness': -7.028, 'mode': 1, 'speechiness': 0.282, 'acousticness': 0.165, 'instrumentalness': 3.49e-06, 'liveness': 0.134, 'valence': 0.535, 'tempo': 186.054, 'type': 'audio_features', 'id': '5aAx2yezTd8zXrkmtKl66Z', 'uri': 'spotify:track:5aAx2yezTd8zXrkmtKl66Z', 'track_href': 'https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z', 'duration_ms': 230453, 'time_signature': 4}",5aAx2yezTd8zXrkmtKl66Z,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,4
3,"{'danceability': 0.748, 'energy': 0.524, 'key': 8, 'loudness': -5.599, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.414, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.661, 'tempo': 95.01, 'type': 'audio_features', 'id': '7BKLCZ1jbUBVqRi2FVlTVw', 'uri': 'spotify:track:7BKLCZ1jbUBVqRi2FVlTVw', 'track_href': 'https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw', 'duration_ms': 244960, 'time_signature': 4}",7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
4,"{'danceability': 0.794, 'energy': 0.632, 'key': 0, 'loudness': -6.163, 'mode': 1, 'speechiness': 0.0649, 'acousticness': 0.142, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.355, 'tempo': 145.926, 'type': 'audio_features', 'id': '6fujklziTHa8uoM5OQSfIo', 'uri': 'spotify:track:6fujklziTHa8uoM5OQSfIo', 'track_href': 'https://api.spotify.com/v1/tracks/6fujklziTHa8uoM5OQSfIo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo', 'duration_ms': 291893, 'time_signature': 4}",6fujklziTHa8uoM5OQSfIo,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,291893,4
5,"{'danceability': 0.886, 'energy': 0.525, 'key': 8, 'loudness': -7.39, 'mode': 1, 'speechiness': 0.131, 'acousticness': 0.236, 'instrumentalness': 0, 'liveness': 0.057, 'valence': 0.708, 'tempo': 145.99, 'type': 'audio_features', 'id': '7yyRTcZmCiyzzJlNzGC9Ol', 'uri': 'spotify:track:7yyRTcZmCiyzzJlNzGC9Ol', 'track_href': 'https://api.spotify.com/v1/tracks/7yyRTcZmCiyzzJlNzGC9Ol', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7yyRTcZmCiyzzJlNzGC9Ol', 'duration_ms': 225205, 'time_signature': 4}",7yyRTcZmCiyzzJlNzGC9Ol,7yyRTcZmCiyzzJlNzGC9Ol,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,0.886,0.525,8,-7.39,1,0.131,0.236,0.0,0.057,0.708,145.99,225205,4
6,"{'danceability': 0.791, 'energy': 0.619, 'key': 1, 'loudness': -5.886, 'mode': 1, 'speechiness': 0.0532, 'acousticness': 0.00784, 'instrumentalness': 0.00423, 'liveness': 0.351, 'valence': 0.371, 'tempo': 103.989, 'type': 'audio_features', 'id': '1xznGGDReH1oQq0xzbwXa3', 'uri': 'spotify:track:1xznGGDReH1oQq0xzbwXa3', 'track_href': 'https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3', 'duration_ms': 173987, 'time_signature': 4}",1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4
7,"{'danceability': 0.952, 'energy': 0.318, 'key': 10, 'loudness': -10.357, 'mode': 1, 'speechiness': 0.467, 'acousticness': 0.174, 'instrumentalness': 0, 'liveness': 0.205, 'valence': 0.665, 'tempo': 120.077, 'type': 'audio_features', 'id': '7FB8l7UA1HKqnuSLjP9qDc', 'uri': 'spotify:track:7FB8l7UA1HKqnuSLjP9qDc', 'track_href': 'https://api.spotify.com/v1/tracks/7FB8l7UA1HKqnuSLjP9qDc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7FB8l7UA1HKqnuSLjP9qDc', 'duration_ms': 209640, 'time_signature': 4}",7FB8l7UA1HKqnuSLjP9qDc,7FB8l7UA1HKqnuSLjP9qDc,spotify:track:7FB8l7UA1HKqnuSLjP9qDc,0.952,0.318,10,-10.357,1,0.467,0.174,0.0,0.205,0.665,120.077,209640,4
8,"{'danceability': 0.476, 'energy': 0.718, 'key': 8, 'loudness': -5.309, 'mode': 1, 'speechiness': 0.0576, 'acousticness': 0.0784, 'instrumentalness': 1.02e-05, 'liveness': 0.122, 'valence': 0.142, 'tempo': 199.864, 'type': 'audio_features', 'id': '4pdPtRcBmOSQDlJ3Fk945m', 'uri': 'spotify:track:4pdPtRcBmOSQDlJ3Fk945m', 'track_href': 'https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m', 'duration_ms': 205947, 'time_signature': 4}",4pdPtRcBmOSQDlJ3Fk945m,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,205947,4
9,"{'danceability': 0.78, 'energy': 0.574, 'key': 1, 'loudness': -5.628, 'mode': 0, 'speechiness': 0.141, 'acousticness': 0.104, 'instrumentalness': 0, 'liveness': 0.129, 'valence': 0.273, 'tempo': 81.502, 'type': 'audio_features', 'id': '0SGkqnVQo9KPytSri1H6cF', 'uri': 'spotify:track:0SGkqnVQo9KPytSri1H6cF', 'track_href': 'https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF', 'duration_ms': 222360, 'time_signature': 4}",0SGkqnVQo9KPytSri1H6cF,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.78,0.574,1,-5.628,0,0.141,0.104,0.0,0.129,0.273,81.502,222360,4
