,Spotify_ID,id,uri,external_ids,name,name_album,artists,label,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,4Km5HrUvYTaSUfiSGPJeQR,4Km5HrUvYTaSUfiSGPJeQR,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,QMCE31600796,Bad and Boujee (feat. Lil Uzi Vert),Culture,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG'}, 'href': 'https://api.spotify.com/v1/artists/6oMuImdp5ZcFhWP0ESe6mG', 'id': '6oMuImdp5ZcFhWP0ESe6mG', 'name': 'Migos', 'type': 'artist', 'uri': 'spotify:artist:6oMuImdp5ZcFhWP0ESe6mG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz'}, 'href': 'https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz', 'id': '4O15NlyKLIASxsJ0PrXPfz', 'name': 'Lil Uzi Vert', 'type': 'artist', 'uri': 'spotify:artist:4O15NlyKLIASxsJ0PrXPfz'}]",['Quality Control Music'],album,13,343150,True,4,1,4,0.927,0.665,11,-5.313,0.244,0.061,0.0,0.123,0.175,127.076
1,343YBumqHu19cGoGARUTsd,343YBumqHu19cGoGARUTsd,spotify:track:343YBumqHu19cGoGARUTsd,USCM51700084,Fake Love,More Life,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]","['Cash Money Records', 'Young Money Ent.', 'Universal Rec.']",album,22,210937,True,20,0,4,0.928,0.481,9,-9.35,0.287,0.105,0.0,0.176,0.613,134.007
2,5aAx2yezTd8zXrkmtKl66Z,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,USUG11600976,Starboy,Starboy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ'}, 'href': 'https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ', 'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'name': 'The Weeknd', 'type': 'artist', 'uri': 'spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi'}, 'href': 'https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi', 'id': '4tZwfgrHOc3mvqYlEYSvVi', 'name': 'Daft Punk', 'type': 'artist', 'uri': 'spotify:artist:4tZwfgrHOc3mvqYlEYSvVi'}]",['Universal Music Group'],album,18,230453,True,1,1,4,0.681,0.594,7,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054
3,7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347,Closer,Closer,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp'}, 'href': 'https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp', 'id': '69GGBxA162lTqCwzJG5jLp', 'name': 'The Chainsmokers', 'type': 'artist', 'uri': 'spotify:artist:69GGBxA162lTqCwzJG5jLp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2'}, 'href': 'https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2', 'id': '26VFTg2z8YR0cCuwLzESi2', 'name': 'Halsey', 'type': 'artist', 'uri': 'spotify:artist:26VFTg2z8YR0cCuwLzESi2'}]","['Disruptor Records', 'Columbia']",single,1,244960,False,1,1,4,0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
4,6fujklziTHa8uoM5OQSfIo,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,USUM71603293,Black Beatles,SremmLife 2 (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D'}, 'href': 'https://api.spotify.com/v1/artists/7iZtZyCzp3LItcw1wtPI3D', 'id': '7iZtZyCzp3LItcw1wtPI3D', 'name': 'Rae Sremmurd', 'type': 'artist', 'uri': 'spotify:artist:7iZtZyCzp3LItcw1wtPI3D'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo'}, 'href': 'https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo', 'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane', 'type': 'artist', 'uri': 'spotify:artist:13y7CgLHjMVRMDqxdx0Xdo'}]",['Mike WiLL Made-It'],album,14,291893,True,5,1,4,0.794,0.632,0,-6.163,0.0649,0.142,0.0,0.128,0.355,145.926
5,7yyRTcZmCiyzzJlNzGC9Ol,7yyRTcZmCiyzzJlNzGC9Ol,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,USUYG1098775,Broccoli (feat. Lil Yachty),Big Baby DRAM,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5M0lbkGluOPXLeFjApw8r8'}, 'href': 'https://api.spotify.com/v1/artists/5M0lbkGluOPXLeFjApw8r8', 'id': '5M0lbkGluOPXLeFjApw8r8', 'name': 'DRAM', 'type': 'artist', 'uri': 'spotify:artist:5M0lbkGluOPXLeFjApw8r8'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6icQOAFXDZKsumw3YXyusw'}, 'href': 'https://api.spotify.com/v1/artists/6icQOAFXDZKsumw3YXyusw', 'id': '6icQOAFXDZKsumw3YXyusw', 'name': 'Lil Yachty', 'type': 'artist', 'uri': 'spotify:artist:6icQOAFXDZKsumw3YXyusw'}]","['W.A.V.E. Recordings', 'EMPIRE', 'Atlantic']",album,14,225205,True,7,1,4,0.886,0.525,8,-7.39,0.131,0.236,0.0,0.057,0.708,145.99
6,1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,USCM51600028,One Dance,Views,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp'}, 'href': 'https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp', 'id': '3tVQdUvClmAT7URs9V3rsp', 'name': 'WizKid', 'type': 'artist', 'uri': 'spotify:artist:3tVQdUvClmAT7URs9V3rsp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/77DAFfvm3O9zT5dIoG0eIO'}, 'href': 'https://api.spotify.com/v1/artists/77DAFfvm3O9zT5dIoG0eIO', 'id': '77DAFfvm3O9zT5dIoG0eIO', 'name': 'Kyla', 'type': 'artist', 'uri': 'spotify:artist:77DAFfvm3O9zT5dIoG0eIO'}]",['Universal Music Group'],album,20,173986,False,12,1,4,0.791,0.619,1,-5.886,0.0532,0.00784,0.00423,0.351,0.371,103.989
7,7FB8l7UA1HKqnuSLjP9qDc,7FB8l7UA1HKqnuSLjP9qDc,spotify:track:7FB8l7UA1HKqnuSLjP9qDc,USCGH1697037,Caroline,Good For You,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ'}, 'href': 'https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ', 'id': '3Gm5F95VdRxW3mqCn8RPBJ', 'name': 'Aminé', 'type': 'artist', 'uri': 'spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ'}]",['Universal Music Group'],album,15,209640,True,3,1,4,0.952,0.318,10,-10.357,0.467,0.174,0.0,0.205,0.665,120.077
8,4pdPtRcBmOSQDlJ3Fk945m,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,QMZSY1600015,Let Me Love You,Encore,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4'}, 'href': 'https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4', 'id': '540vIaP2JwjQb9dm3aArA4', 'name': 'DJ Snake', 'type': 'artist', 'uri': 'spotify:artist:540vIaP2JwjQb9dm3aArA4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'}, 'href': 'https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s', 'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'type': 'artist', 'uri': 'spotify:artist:1uNFoZAHBGtllmzznpCI3s'}]",['Universal Music Group'],album,14,205946,False,13,1,4,0.476,0.718,8,-5.309,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
9,0SGkqnVQo9KPytSri1H6cF,0SGkqnVQo9KPytSri1H6cF,spotify:track:0SGkqnVQo9KPytSri1H6cF,USUM71614503,Bounce Back,I Decided.,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh'}, 'href': 'https://api.spotify.com/v1/artists/0c173mlxpT3dSFRgMO8XPh', 'id': '0c173mlxpT3dSFRgMO8XPh', 'name': 'Big Sean', 'type': 'artist', 'uri': 'spotify:artist:0c173mlxpT3dSFRgMO8XPh'}]","['Getting Out Our Dreams Inc. (G.O.O.D.) Music ', ' IDJ']",album,14,222360,True,3,0,4,0.78,0.574,1,-5.628,0.141,0.104,0.0,0.129,0.273,81.502
