,Chart,Region,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL,Spotify_ID
1000,Viral50,United States,2017-01-01,1,Flat,Fill Me In - AFTR:HRS Mixcut,Loud Luxury,,https://i.scdn.co/image/ab67616d00004851a99503981840bbca16e98459,https://open.spotify.com/track/1Th5b8AsauED9F7pGv8Yxi,1Th5b8AsauED9F7pGv8Yxi
1001,Viral50,United States,2017-01-01,2,Flat,Freedom! '90,George Michael,,https://i.scdn.co/image/ab67616d00004851a0063c4e190db470d96d5939,https://open.spotify.com/track/1D6nV9TPfMnWm7UdVsDVfI,1D6nV9TPfMnWm7UdVsDVfI
1002,Viral50,United States,2017-01-01,3,Flat,You,Manwolves,,https://i.scdn.co/image/ab67616d00004851db49e46f0509c720d144b0d8,https://open.spotify.com/track/6F7CjVIrwk7PddQUsoPmoo,6F7CjVIrwk7PddQUsoPmoo
1003,Viral50,United States,2017-01-01,4,Flat,Faith - Remastered,George Michael,,https://i.scdn.co/image/ab67616d00004851b7a9a6a2bf311630d3fc6956,https://open.spotify.com/track/0HEmnAUT8PHznIAAmVXqFJ,0HEmnAUT8PHznIAAmVXqFJ
1004,Viral50,United States,2017-01-01,5,Flat,Father Figure - Remastered,George Michael,,https://i.scdn.co/image/ab67616d00004851b7a9a6a2bf311630d3fc6956,https://open.spotify.com/track/0L0T4tMAaGqLgIVj1MOj9t,0L0T4tMAaGqLgIVj1MOj9t
1005,Viral50,United States,2017-01-01,6,Flat,One More Try - Remastered,George Michael,,https://i.scdn.co/image/ab67616d00004851b7a9a6a2bf311630d3fc6956,https://open.spotify.com/track/5932kbyNt445gDTT2chRUS,5932kbyNt445gDTT2chRUS
1006,Viral50,United States,2017-01-01,7,Flat,Careless Whisper,George Michael,,https://i.scdn.co/image/ab67616d0000485164c19b24ce947ffa363f8f96,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY,4jDmJ51x1o9NZB5Nxxc7gY
1007,Viral50,United States,2017-01-01,8,Up,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,,https://i.scdn.co/image/ab67616d000048514e6fc7f85b20a479b81e2436,https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s,1R17cgUv6HeQFa78dzqb7s
1008,Viral50,United States,2017-01-01,9,Down,Another Day Of Sun,La La Land Cast,,https://i.scdn.co/image/c85b166d44288cd40b9563c4b1d4d3aea4f24c43,https://open.spotify.com/track/5kRBzRZmZTXVg8okC7SJFZ,5kRBzRZmZTXVg8okC7SJFZ
1009,Viral50,United States,2017-01-01,10,Flat,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,,https://i.scdn.co/image/ab67616d00004851f329e7d889ae0b2d89403e43,https://open.spotify.com/track/0fH86zQcE2CmATQju6WpXv,0fH86zQcE2CmATQju6WpXv
1010,Viral50,United States,2017-01-01,11,Flat,Panther Like a Panther (Miracle Mix) (feat. Trina),Run The Jewels,,https://i.scdn.co/image/ab67616d000048514bce73abd8d3361c42dfd8d4,https://open.spotify.com/track/0URhioon26PogQkIAHCUK4,0URhioon26PogQkIAHCUK4
