,Audio Features Obj,Internal Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,"{'danceability': 0.928, 'energy': 0.481, 'key': 9, 'loudness': -9.35, 'mode': 0, 'speechiness': 0.287, 'acousticness': 0.105, 'instrumentalness': 0, 'liveness': 0.176, 'valence': 0.613, 'tempo': 134.007, 'type': 'audio_features', 'id': '343YBumqHu19cGoGARUTsd', 'uri': 'spotify:track:343YBumqHu19cGoGARUTsd', 'track_href': 'https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd', 'duration_ms': 210937, 'time_signature': 4}",343YBumqHu19cGoGARUTsd,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,210937,4
1,"{'danceability': 0.791, 'energy': 0.619, 'key': 1, 'loudness': -5.886, 'mode': 1, 'speechiness': 0.0532, 'acousticness': 0.00784, 'instrumentalness': 0.00423, 'liveness': 0.351, 'valence': 0.371, 'tempo': 103.989, 'type': 'audio_features', 'id': '1xznGGDReH1oQq0xzbwXa3', 'uri': 'spotify:track:1xznGGDReH1oQq0xzbwXa3', 'track_href': 'https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3', 'duration_ms': 173987, 'time_signature': 4}",1xznGGDReH1oQq0xzbwXa3,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4
2,"{'danceability': 0.806, 'energy': 0.558, 'key': 8, 'loudness': -6.538, 'mode': 1, 'speechiness': 0.172, 'acousticness': 0.00496, 'instrumentalness': 1.45e-06, 'liveness': 0.16, 'valence': 0.26, 'tempo': 85.011, 'type': 'audio_features', 'id': '4ckuS4Nj4FZ7i3Def3Br8W', 'uri': 'spotify:track:4ckuS4Nj4FZ7i3Def3Br8W', 'track_href': 'https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W', 'duration_ms': 251333, 'time_signature': 4}",4ckuS4Nj4FZ7i3Def3Br8W,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,251333,4
3,"{'danceability': 0.804, 'energy': 0.648, 'key': 7, 'loudness': -7.805, 'mode': 1, 'speechiness': 0.117, 'acousticness': 0.0573, 'instrumentalness': 3.49e-05, 'liveness': 0.102, 'valence': 0.392, 'tempo': 117.983, 'type': 'audio_features', 'id': '11KJSRSgaDxqydKYiD2Jew', 'uri': 'spotify:track:11KJSRSgaDxqydKYiD2Jew', 'track_href': 'https://api.spotify.com/v1/tracks/11KJSRSgaDxqydKYiD2Jew', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/11KJSRSgaDxqydKYiD2Jew', 'duration_ms': 263373, 'time_signature': 4}",11KJSRSgaDxqydKYiD2Jew,0.804,0.648,7,-7.805,1,0.117,0.0573,3.49e-05,0.102,0.392,117.983,263373,4
4,"{'danceability': 0.607, 'energy': 0.476, 'key': 10, 'loudness': -11.076, 'mode': 0, 'speechiness': 0.249, 'acousticness': 0.0773, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.347, 'tempo': 122.976, 'type': 'audio_features', 'id': '6F609ICg9Spjrw1epsAnpa', 'uri': 'spotify:track:6F609ICg9Spjrw1epsAnpa', 'track_href': 'https://api.spotify.com/v1/tracks/6F609ICg9Spjrw1epsAnpa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6F609ICg9Spjrw1epsAnpa', 'duration_ms': 245227, 'time_signature': 5}",6F609ICg9Spjrw1epsAnpa,0.607,0.476,10,-11.076,0,0.249,0.0773,0.0,0.113,0.347,122.976,245227,5
5,"{'danceability': 0.852, 'energy': 0.553, 'key': 1, 'loudness': -7.286, 'mode': 1, 'speechiness': 0.187, 'acousticness': 0.0563, 'instrumentalness': 0, 'liveness': 0.332, 'valence': 0.656, 'tempo': 142.072, 'type': 'audio_features', 'id': '27GmP9AWRs744SzKcpJsTZ', 'uri': 'spotify:track:27GmP9AWRs744SzKcpJsTZ', 'track_href': 'https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/27GmP9AWRs744SzKcpJsTZ', 'duration_ms': 205879, 'time_signature': 4}",27GmP9AWRs744SzKcpJsTZ,0.852,0.553,1,-7.286,1,0.187,0.0563,0.0,0.332,0.656,142.072,205879,4
6,"{'danceability': 0.724, 'energy': 0.456, 'key': 7, 'loudness': -10.009, 'mode': 1, 'speechiness': 0.127, 'acousticness': 0.215, 'instrumentalness': 2.41e-06, 'liveness': 0.105, 'valence': 0.0481, 'tempo': 133.051, 'type': 'audio_features', 'id': '1WRy5l3TwrwlzNmB5bOeKw', 'uri': 'spotify:track:1WRy5l3TwrwlzNmB5bOeKw', 'track_href': 'https://api.spotify.com/v1/tracks/1WRy5l3TwrwlzNmB5bOeKw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1WRy5l3TwrwlzNmB5bOeKw', 'duration_ms': 212947, 'time_signature': 4}",1WRy5l3TwrwlzNmB5bOeKw,0.724,0.456,7,-10.009,1,0.127,0.215,2.41e-06,0.105,0.0481,133.051,212947,4
7,"{'danceability': 0.903, 'energy': 0.62, 'key': 2, 'loudness': -8.094, 'mode': 1, 'speechiness': 0.0587, 'acousticness': 0.00347, 'instrumentalness': 0.000119, 'liveness': 0.0504, 'valence': 0.539, 'tempo': 134.96, 'type': 'audio_features', 'id': '2FBUoWkIuQXwayw2RNo5l6', 'uri': 'spotify:track:2FBUoWkIuQXwayw2RNo5l6', 'track_href': 'https://api.spotify.com/v1/tracks/2FBUoWkIuQXwayw2RNo5l6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2FBUoWkIuQXwayw2RNo5l6', 'duration_ms': 267067, 'time_signature': 4}",2FBUoWkIuQXwayw2RNo5l6,0.903,0.62,2,-8.094,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,4
8,"{'danceability': 0.833, 'energy': 0.431, 'key': 0, 'loudness': -9.604, 'mode': 1, 'speechiness': 0.194, 'acousticness': 0.0267, 'instrumentalness': 0, 'liveness': 0.633, 'valence': 0.224, 'tempo': 133.938, 'type': 'audio_features', 'id': '433P7tDcIAi6NLnf4Sh6tI', 'uri': 'spotify:track:433P7tDcIAi6NLnf4Sh6tI', 'track_href': 'https://api.spotify.com/v1/tracks/433P7tDcIAi6NLnf4Sh6tI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/433P7tDcIAi6NLnf4Sh6tI', 'duration_ms': 189853, 'time_signature': 3}",433P7tDcIAi6NLnf4Sh6tI,0.833,0.431,0,-9.604,1,0.194,0.0267,0.0,0.633,0.224,133.938,189853,3
9,"{'danceability': 0.745, 'energy': 0.473, 'key': 10, 'loudness': -11.243, 'mode': 0, 'speechiness': 0.0955, 'acousticness': 0.017, 'instrumentalness': 1.12e-05, 'liveness': 0.197, 'valence': 0.296, 'tempo': 80.006, 'type': 'audio_features', 'id': '3NxAG2ni1lLa8RKL6a0INc', 'uri': 'spotify:track:3NxAG2ni1lLa8RKL6a0INc', 'track_href': 'https://api.spotify.com/v1/tracks/3NxAG2ni1lLa8RKL6a0INc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NxAG2ni1lLa8RKL6a0INc', 'duration_ms': 241400, 'time_signature': 4}",3NxAG2ni1lLa8RKL6a0INc,0.745,0.473,10,-11.243,0,0.0955,0.017,1.12e-05,0.197,0.296,80.006,241400,4
